aurail,Chinese Name,光环 (第 3 套, 美版) (未保护版)
aurail1,Chinese Name,光环 (第 2 套, 世界版) (FD1089B 317-0168)
aurail1d,Chinese Name,光环 (第 2 套, 世界版) (盗版自 FD1089B 317-0168 set)
aurailj,Chinese Name,光环 (第 1 套, 日版) (FD1089A 317-0167)
aurailjd,Chinese Name,光环 (第 1 套, 日版) (盗版自 FD1089A 317-0167 set)
avefenix,Chinese Name,火凤凰 (Electrogame, 西班牙版 盗版自 Phoenix)
avefenixl,Chinese Name,火凤凰 (Laguna, 西班牙版 盗版自 Phoenix)
avefenixrf,Chinese Name,火凤凰 (Recreativos Franco, 西班牙版 盗版自 Phoenix)
avengers,Chinese Name,必杀无赖拳 (美版 第 1 套)
avengersa,Short Name,avengersa
avengersb,Short Name,avengersb
avengersc,Short Name,avengersc
avengrgs,Chinese Name,银河复仇者 (美版/欧版 1.0)
avengrgsj,Chinese Name,银河复仇者 (日版 1.2)
avsp,Chinese Name,异形 对 铁血战士 (欧版 940520)
avspa,Chinese Name,异形 对 铁血战士 (亚版 940520)
avspd,Chinese Name,异形 对 铁血战士 (欧版 940520 凤凰版) (盗版)
avsph,Chinese Name,异形 对 铁血战士 (西班牙版 940520)
avspirit,Chinese Name,复仇精灵 
avspj,Chinese Name,异形 对 铁血战士 (日版 940520)
avspu,Chinese Name,异形 对 铁血战士 (美版 940520)
aztarac,Chinese Name,太空舰队 
azurian,Chinese Name,防卫射击 
b2b,Chinese Name,棒棒破坏者 (2010 NCI release)
bace,Long Name,Balloon Ace
backfire,Chinese Name,越野房车大赛 (日版, 第 1 套)
backfirt,Chinese Name,烽火佳人 (Tecmo, 盗版)
badapple,Long Name,Bad Apple (Tech-Demo)
baddudes,Chinese Name,龙行忍者 (美版 修正版 1)
badlands,Chinese Name,环绕赛车 - 崎岖之路 
bagman,Chinese Name,推销员 
bagmanj,Chinese Name,推销员 (Taito)
bagmanm2,Chinese Name,推销员 (盗版 Moon Cresta 硬件, 第 2 套)
bagmans,Chinese Name,推销员 (Stern Electronics, 修正版 A5)
